Site Description,Histology,Histology Description,Histology/Behavior,Histology/Behavior Description,,,,,
BASE OF TONGUE,808,LYMPHOEPITHELIAL CARCINOMA,8081/2,Bowen disease,,,,,
BASE OF TONGUE,808,LYMPHOEPITHELIAL CARCINOMA,8082/3,Lymphoepithelial carcinoma,,,,,
BASE OF TONGUE,808,LYMPHOEPITHELIAL CARCINOMA,8083/3,Basaloid squamous cell carcinoma,,,,,
BASE OF TONGUE,808,LYMPHOEPITHELIAL CARCINOMA,8084/3,"Squamous cell carcinoma, clear cell type",,,,,
BASE OF TONGUE,808,LYMPHOEPITHELIAL CARCINOMA,8085/3,"Squamous cell carcinoma, HPV-positive",,,,,
BASE OF TONGUE,808,LYMPHOEPITHELIAL CARCINOMA,8086/3,"Squamous cell carcinoma, HPV-negative",,,,,
BASE OF TONGUE,814,"ADENOCARCINOMA, NOS",8140/2,Adenocarcinoma in situ,,,,,
BASE OF TONGUE,814,"ADENOCARCINOMA, NOS",8140/3,"Adenocarcinoma, NOS",,,,,
BASE OF TONGUE,814,"ADENOCARCINOMA, NOS",8141/3,Scirrhous adenocarcinoma,,,,,
BASE OF TONGUE,814,"ADENOCARCINOMA, NOS",8143/3,Superficial spreading adenocarcinoma,,,,,
BASE OF TONGUE,814,"ADENOCARCINOMA, NOS",8147/3,Basal cell adenocarcinoma,,,,,
BASE OF TONGUE,820,ADENOID CYSTIC & CRIBRIFORM CA.,8200/3,Adenoid cystic carcinoma,,,,,
BASE OF TONGUE,820,ADENOID CYSTIC & CRIBRIFORM CA.,8201/2,Cribriform carcinoma in situ,,,,,
BASE OF TONGUE,820,ADENOID CYSTIC & CRIBRIFORM CA.,8201/3,Cribriform carcinoma,,,,,
BASE OF TONGUE,825,BRONCHIOLO-ALVEOLAR ADENOCA.,8255/3,Adenocarcinoma with mixed subtypes,,,,,
BASE OF TONGUE,843,MUCOEPIDERMOID CARCINOMA,8430/3,Mucoepidermoid carcinoma,,,,,
BASE OF TONGUE,848,MUCINOUS ADENOCARCINOMA,8480/3,Mucinous adenocarcinoma,,,,,
BASE OF TONGUE,848,MUCINOUS ADENOCARCINOMA,8481/3,Mucin-producing adenocarcinoma,,,,,
BASE OF TONGUE,856,ADENOSQUAMOUS CARCINOMA,8560/3,Adenosquamous carcinoma,,,,,
BASE OF TONGUE,856,ADENOSQUAMOUS CARCINOMA,8562/3,Epithelial-myoepithelial carcinoma,,,,,
BASE OF TONGUE,857,ADENOCA. WITH METAPLASIA,8570/3,Adenocarcinoma with squamous metaplasia,,,,,
BASE OF TONGUE,857,ADENOCA. WITH METAPLASIA,8571/3,Adenocarcinoma w cartilag. & oss. metaplas.,,,,,
BASE OF TONGUE,857,ADENOCA. WITH METAPLASIA,8572/3,Adenocarcinoma with spindle cell mataplasia,,,,,
BASE OF TONGUE,857,ADENOCA. WITH METAPLASIA,8573/3,Adenocarcinoma with apocrine metaplasia,,,,,
BASE OF TONGUE,857,ADENOCA. WITH METAPLASIA,8574/3,Adenocarcinoma with neuroendocrine differen.,,,,,
BASE OF TONGUE,857,ADENOCA. WITH METAPLASIA,8575/3,"Metaplastic carcinoma, NOS",,,,,
BASE OF TONGUE,872,NEVI & MELANOMAS,8720/2,Melanoma in situ,,,,,
BASE OF TONGUE,872,NEVI & MELANOMAS,8720/3,"Malignant melanoma, NOS",,,,,
BASE OF TONGUE,872,NEVI & MELANOMAS,8721/3,Nodular melanoma,,,,,
BASE OF TONGUE,872,NEVI & MELANOMAS,8722/3,Balloon cell melanoma,,,,,
BASE OF TONGUE,872,NEVI & MELANOMAS,8723/3,"Malignant melanoma, regressing",,,,,
BASE OF TONGUE,882,"SARCOMA, NOS",8825/3,Myofibroblastic sarcoma,,,,,
BASE OF TONGUE,890,"RHABDOMYOSARCOMA, NOS",8900/3,"Rhabdomyosarcoma, NOS",,,,,
BASE OF TONGUE,890,"RHABDOMYOSARCOMA, NOS",8901/3,"Pleomorphic rhabdomyosarcoma, adult type",,,,,
BASE OF TONGUE,890,"RHABDOMYOSARCOMA, NOS",8902/3,Mixed type rhabdomyosarcoma,,,,,
BASE OF TONGUE,891,EMBRYONAL RHABDOMYOSARCOMA,8910/3,Embryonal rhabdomyosarcoma,,,,,
BASE OF TONGUE,891,EMBRYONAL RHABDOMYOSARCOMA,8912/3,Spindle cell rhabdomyosarcoma,,,,,
BASE OF TONGUE,894,"MIXED TUMOR, MALIGNANT, NOS",8940/3,"Mixed tumor, malignant, NOS",,,,,
BASE OF TONGUE,894,"MIXED TUMOR, MALIGNANT, NOS",8941/3,Carcinoma in pleomorphic adenoma,,,,,
BASE OF TONGUE,914,KAPOSI SARCOMA,9140/3,Kaposi sarcoma,,,,,
BASE OF TONGUE,959,"MALIGNANT LYMPHOMA, NOS",9590/3,"Malignant lymphoma, NOS",,,,,
BASE OF TONGUE,959,"MALIGNANT LYMPHOMA, NOS",9591/3,"Malignant lymphoma, non-Hodgkin",,,,,
BASE OF TONGUE,959,"MALIGNANT LYMPHOMA, NOS",9596/3,Composite Hodgkin and non-Hodgkin lymphoma,,,,,
BASE OF TONGUE,965,HODGKIN LYMPHOMA,9650/3,"Hodgkin lymphoma, NOS",,,,,
BASE OF TONGUE,965,HODGKIN LYMPHOMA,9651/3,"Hodgkin lymphoma, lymphocyte-rich",,,,,
BASE OF TONGUE,965,HODGKIN LYMPHOMA,9652/3,"Hodgkin lymphoma, mixed cellularity, NOS",,,,,
BASE OF TONGUE,965,HODGKIN LYMPHOMA,9653/3,"Hodgkin lymphoma, lymphocytic deplet., NOS",,,,,
BASE OF TONGUE,965,HODGKIN LYMPHOMA,9654/3,"Hodgkin lymph., lymphocyt. deplet., diffuse fibrosis",,,,,
BASE OF TONGUE,965,HODGKIN LYMPHOMA,9655/3,"Hodgkin lymphoma, lymphocyt. deplet., reticular",,,,,
BASE OF TONGUE,965,HODGKIN LYMPHOMA,9659/3,"Hodgkin lymph., nodular lymphocyte predom.",,,,,
BASE OF TONGUE,966,"HODGKIN LYMPHOMA, NOD. SCLER.",9661/3,Hodgkin granuloma [obs],,,,,
BASE OF TONGUE,966,"HODGKIN LYMPHOMA, NOD. SCLER.",9662/3,Hodgkin sarcoma [obs],,,,,
BASE OF TONGUE,966,"HODGKIN LYMPHOMA, NOD. SCLER.",9663/3,"Hodgkin lymphoma, nodular sclerosis, NOS",,,,,
BASE OF TONGUE,966,"HODGKIN LYMPHOMA, NOD. SCLER.",9664/3,"Hodgkin lymphoma, nod. scler., cellular phase",,,,,
BASE OF TONGUE,966,"HODGKIN LYMPHOMA, NOD. SCLER.",9665/3,"Hodgkin lymphoma, nod. scler., grade 1",,,,,
BASE OF TONGUE,966,"HODGKIN LYMPHOMA, NOD. SCLER.",9667/3,"Hodgkin lymphoma, nod. scler., grade 2",,,,,
BASE OF TONGUE,967,"ML, SMALL B-CELL LYMPHOCYTIC",9670/3,"ML, small B lymphocytic, NOS",,,,,
BASE OF TONGUE,967,"ML, SMALL B-CELL LYMPHOCYTIC",9671/3,"ML, lymphoplasmacytic",,,,,
BASE OF TONGUE,967,"ML, SMALL B-CELL LYMPHOCYTIC",9673/3,Mantle cell lymphoma,,,,,
BASE OF TONGUE,967,"ML, SMALL B-CELL LYMPHOCYTIC",9675/3,"ML, mixed sm. and lg. cell, diffuse",,,,,
BASE OF TONGUE,968,"ML, LARGE B-CELL, DIFFUSE",9680/3,"ML, large B-cell, diffuse",,,,,
BASE OF TONGUE,968,"ML, LARGE B-CELL, DIFFUSE",9684/3,"ML, large B-cell, diffuse, immunoblastic, NOS",,,,,
BASE OF TONGUE,968,"ML, LARGE B-CELL, DIFFUSE",9687/3,"Burkitt lymphoma, NOS",,,,,
BASE OF TONGUE,968,"ML, LARGE B-CELL, DIFFUSE",9688/3,T-cell histiocyte rich large B-cell lymphoma,,,,,
BASE OF TONGUE,969,"FOLLIC. & MARGINAL LYMPH, NOS",9690/3,"Follicular lymphoma, NOS",,,,,
