Site Description,Histology,Histology Description,Histology/Behavior,Histology/Behavior Description,,,,,
VAGINA & LABIA,820,ADENOID CYSTIC & CRIBRIFORM CA.,8201/3,Cribriform carcinoma,,,,,
VAGINA & LABIA,825,BRONCHIOLO-ALVEOLAR ADENOCA.,8255/3,Adenocarcinoma with mixed subtypes,,,,,
VAGINA & LABIA,826,"PAPILLARY ADENOCARCINOMA, NOS",8260/3,"Papillary adenocarcinoma, NOS",,,,,
VAGINA & LABIA,826,"PAPILLARY ADENOCARCINOMA, NOS",8261/2,Adenocarcinoma in situ in villous adenoma,,,,,
VAGINA & LABIA,826,"PAPILLARY ADENOCARCINOMA, NOS",8261/3,Adenocarcinoma in villous adenoma,,,,,
VAGINA & LABIA,826,"PAPILLARY ADENOCARCINOMA, NOS",8262/3,Villous adenocarcinoma,,,,,
VAGINA & LABIA,826,"PAPILLARY ADENOCARCINOMA, NOS",8263/2,Adenocarcinoma in situ in tubulovillous adenoma,,,,,
VAGINA & LABIA,826,"PAPILLARY ADENOCARCINOMA, NOS",8263/3,Adenocarcinoma in tubulovillous adenoma,,,,,
VAGINA & LABIA,831,"CLEAR CELL ADENOCARCINOMA, NOS",8310/3,"Clear cell adenocarcinoma, NOS",,,,,
VAGINA & LABIA,832,GRANULAR CELL CARCINOMA,8323/3,Mixed cell adenocarcinoma,,,,,
VAGINA & LABIA,838,ENDOMETRIOID ADENOCARCINOMA,8380/3,Endometrioid carcinoma,,,,,
VAGINA & LABIA,840,SWEAT GLAND ADENOCARCINOMA,8401/3,Apocrine adenocarcinoma,,,,,
VAGINA & LABIA,848,MUCINOUS ADENOCARCINOMA,8480/3,Mucinous adenocarcinoma,,,,,
VAGINA & LABIA,848,MUCINOUS ADENOCARCINOMA,8481/3,Mucin-producing adenocarcinoma,,,,,
VAGINA & LABIA,848,MUCINOUS ADENOCARCINOMA,8482/3,"Mucinous adenocarcinoma, endocervical type",,,,,
VAGINA & LABIA,848,MUCINOUS ADENOCARCINOMA,8483/3,"Adenocarcinoma, HPV-associated",,,,,
VAGINA & LABIA,854,"PAGET DISEASE, EXTRAMAMMARY",8542/3,"Paget disease, extramammary",,,,,
VAGINA & LABIA,856,ADENOSQUAMOUS CARCINOMA,8560/3,Adenosquamous carcinoma,,,,,
VAGINA & LABIA,856,ADENOSQUAMOUS CARCINOMA,8562/3,Epithelial-myoepithelial carcinoma,,,,,
VAGINA & LABIA,857,ADENOCA. WITH METAPLASIA,8570/3,Adenocarcinoma with squamous metaplasia,,,,,
VAGINA & LABIA,857,ADENOCA. WITH METAPLASIA,8571/3,Adenocarcinoma w cartilag. & oss. metaplas.,,,,,
VAGINA & LABIA,857,ADENOCA. WITH METAPLASIA,8572/3,Adenocarcinoma with spindle cell mataplasia,,,,,
VAGINA & LABIA,857,ADENOCA. WITH METAPLASIA,8573/3,Adenocarcinoma with apocrine metaplasia,,,,,
VAGINA & LABIA,857,ADENOCA. WITH METAPLASIA,8574/3,Adenocarcinoma with neuroendocrine differen.,,,,,
VAGINA & LABIA,857,ADENOCA. WITH METAPLASIA,8575/3,"Metaplastic carcinoma, NOS",,,,,
VAGINA & LABIA,857,ADENOCA. WITH METAPLASIA,8576/3,Hepatoid adenocarcinoma,,,,,
VAGINA & LABIA,872,NEVI & MELANOMAS,8720/2,Melanoma in situ,,,,,
VAGINA & LABIA,872,NEVI & MELANOMAS,8720/3,"Malignant melanoma, NOS",,,,,
VAGINA & LABIA,872,NEVI & MELANOMAS,8721/3,Nodular melanoma,,,,,
VAGINA & LABIA,872,NEVI & MELANOMAS,8722/3,Balloon cell melanoma,,,,,
VAGINA & LABIA,872,NEVI & MELANOMAS,8723/3,"Malignant melanoma, regressing",,,,,
VAGINA & LABIA,873,AMELANOTIC MELANOMA,8730/3,Amelanotic melanoma,,,,,
VAGINA & LABIA,874,MAL. MEL. IN JUNCT. NEVUS,8740/3,Mal. melanoma in junctional nevus,,,,,
VAGINA & LABIA,874,MAL. MEL. IN JUNCT. NEVUS,8741/2,"Precancerous melanosis, NOS",,,,,
VAGINA & LABIA,874,MAL. MEL. IN JUNCT. NEVUS,8741/3,Mal. melanoma in precan. melanosis,,,,,
VAGINA & LABIA,874,MAL. MEL. IN JUNCT. NEVUS,8742/2,Lentigo maligna,,,,,
VAGINA & LABIA,874,MAL. MEL. IN JUNCT. NEVUS,8742/3,Lentigo maligna melanoma,,,,,
VAGINA & LABIA,874,MAL. MEL. IN JUNCT. NEVUS,8743/3,Superficial spreading melanoma,,,,,
VAGINA & LABIA,874,MAL. MEL. IN JUNCT. NEVUS,8745/3,"Desmoplastic melanoma, malignant",,,,,
VAGINA & LABIA,874,MAL. MEL. IN JUNCT. NEVUS,8746/3,Mucosal lentiginous melanoma,,,,,
VAGINA & LABIA,876,MAL. MELAN. IN GIANT PIGMT. NEVUS,8761/3,Mal. melanoma in giant pigmented nevus,,,,,
VAGINA & LABIA,877,EPITHELIOID CELL MELANOMA,8770/3,Mixed epithel. & spindle cell melanoma,,,,,
VAGINA & LABIA,877,EPITHELIOID CELL MELANOMA,8771/3,Epithelioid cell melanoma,,,,,
VAGINA & LABIA,877,EPITHELIOID CELL MELANOMA,8772/3,"Spindle cell melanoma, NOS",,,,,
VAGINA & LABIA,880,"SARCOMA, NOS",8800/3,"Sarcoma, NOS",,,,,
VAGINA & LABIA,880,"SARCOMA, NOS",8801/3,Spindle cell sarcoma,,,,,
VAGINA & LABIA,880,"SARCOMA, NOS",8802/3,Giant cell sarcoma,,,,,
VAGINA & LABIA,880,"SARCOMA, NOS",8803/3,Small cell sarcoma,,,,,
VAGINA & LABIA,880,"SARCOMA, NOS",8804/3,Epithelioid sarcoma,,,,,
VAGINA & LABIA,880,"SARCOMA, NOS",8805/3,Undifferentiated sarcoma,,,,,
VAGINA & LABIA,880,"SARCOMA, NOS",8806/3,Desmoplastic small round cell tumor,,,,,
VAGINA & LABIA,881,FIBROMATOUS NEOPLASMS,8810/3,"Fibrosarcoma, NOS",,,,,
VAGINA & LABIA,881,FIBROMATOUS NEOPLASMS,8811/3,Fibromyxosarcoma,,,,,
VAGINA & LABIA,881,FIBROMATOUS NEOPLASMS,8813/3,Fascial fibrosarcoma,,,,,
VAGINA & LABIA,881,FIBROMATOUS NEOPLASMS,8814/3,Infantile fibrosarcoma,,,,,
VAGINA & LABIA,881,FIBROMATOUS NEOPLASMS,8815/3,"Solitary fibrous tumor, malignant",,,,,
VAGINA & LABIA,882,"SARCOMA, NOS",8825/3,Myofibroblastic sarcoma,,,,,
VAGINA & LABIA,883,"FIBROUS HISTIOCYTOMA, MAL.",8830/3,"Fibrous histiocytoma, malignant",,,,,
VAGINA & LABIA,883,"FIBROUS HISTIOCYTOMA, MAL.",8832/3,"Dermatofibrosarcoma, NOS",,,,,
VAGINA & LABIA,885,LIPOSARCOMA NEOPLASMS,8850/3,"Liposarcoma, NOS",,,,,
VAGINA & LABIA,885,LIPOSARCOMA NEOPLASMS,8851/3,"Liposarcoma, well differentiated",,,,,
VAGINA & LABIA,885,LIPOSARCOMA NEOPLASMS,8852/3,Myxoid liposarcoma,,,,,
VAGINA & LABIA,885,LIPOSARCOMA NEOPLASMS,8853/3,Round cell liposarcoma,,,,,
VAGINA & LABIA,885,LIPOSARCOMA NEOPLASMS,8854/3,Pleomorphic liposarcoma,,,,,
VAGINA & LABIA,885,LIPOSARCOMA NEOPLASMS,8855/3,Mixed type liposarcoma,,,,,
VAGINA & LABIA,885,LIPOSARCOMA NEOPLASMS,8857/3,Fibroblastic liposarcoma,,,,,
VAGINA & LABIA,885,LIPOSARCOMA NEOPLASMS,8858/3,Dedifferentiated liposarcoma,,,,,
VAGINA & LABIA,889,MYOMATOUS NEOPLASMS,8890/3,"Leiomyosarcoma, NOS",,,,,
VAGINA & LABIA,889,MYOMATOUS NEOPLASMS,8891/3,Epithelioid leiomyosarcoma,,,,,
VAGINA & LABIA,889,MYOMATOUS NEOPLASMS,8894/3,Angiomyosarcoma,,,,,
VAGINA & LABIA,889,MYOMATOUS NEOPLASMS,8895/3,Myosarcoma,,,,,
VAGINA & LABIA,889,MYOMATOUS NEOPLASMS,8896/3,Myxoid leiomyosarcoma,,,,,
VAGINA & LABIA,890,"RHABDOMYOSARCOMA, NOS",8900/3,"Rhabdomyosarcoma, NOS",,,,,
VAGINA & LABIA,890,"RHABDOMYOSARCOMA, NOS",8901/3,"Pleomorphic rhabdomyosarcoma, adult type",,,,,
VAGINA & LABIA,890,"RHABDOMYOSARCOMA, NOS",8902/3,Mixed type rhabdomyosarcoma,,,,,
VAGINA & LABIA,891,EMBRYONAL RHABDOMYOSARCOMA,8910/3,Embryonal rhabdomyosarcoma,,,,,
VAGINA & LABIA,891,EMBRYONAL RHABDOMYOSARCOMA,8912/3,Spindle cell rhabdomyosarcoma,,,,,
VAGINA & LABIA,893,STROMAL SARCOMA,8933/3,Adenosarcoma,,,,,
VAGINA & LABIA,895,MULLERIAN MIXED TUMOR,8950/3,Mullerian mixed tumor,,,,,
VAGINA & LABIA,895,MULLERIAN MIXED TUMOR,8951/3,Mesodermal mixed tumor,,,,,
VAGINA & LABIA,898,"CARCINOSARCOMA, NOS",8980/3,"Carcinosarcoma, NOS",,,,,
VAGINA & LABIA,898,"CARCINOSARCOMA, NOS",8981/3,"Carcinosarcoma, embryonal type",,,,,
VAGINA & LABIA,898,"CARCINOSARCOMA, NOS",8982/3,Malignant myoepithelioma,,,,,
VAGINA & LABIA,906,GERM CELL TUMORS,9064/3,Germinoma,,,,,
VAGINA & LABIA,907,"EMBRYONAL CARCINOMA, NOS",9071/3,Yolk sac tumor,,,,,
VAGINA & LABIA,911,"MESONEPHROMA, MALIGNANT",9110/3,"Mesonephroma, malignant",,,,,
VAGINA & LABIA,954,NEUROFIBROSARCOMA,9540/3,Malignant peripheral nerve sheath tumor,,,,,
VAGINA & LABIA,959,"MALIGNANT LYMPHOMA, NOS",9590/3,"Malignant lymphoma, NOS",,,,,
VAGINA & LABIA,959,"MALIGNANT LYMPHOMA, NOS",9591/3,"Malignant lymphoma, non-Hodgkin",,,,,
VAGINA & LABIA,959,"MALIGNANT LYMPHOMA, NOS",9596/3,Composite Hodgkin and non-Hodgkin lymphoma,,,,,
VAGINA & LABIA,959,"MALIGNANT LYMPHOMA, NOS",9597/3,Primary Cutaneous follicle centre lymphoma,,,,,
VAGINA & LABIA,965,HODGKIN LYMPHOMA,9650/3,"Hodgkin lymphoma, NOS",,,,,
VAGINA & LABIA,965,HODGKIN LYMPHOMA,9651/3,"Hodgkin lymphoma, lymphocyte-rich",,,,,
VAGINA & LABIA,965,HODGKIN LYMPHOMA,9652/3,"Hodgkin lymphoma, mixed cellularity, NOS",,,,,
VAGINA & LABIA,965,HODGKIN LYMPHOMA,9653/3,"Hodgkin lymphoma, lymphocytic deplet., NOS",,,,,
VAGINA & LABIA,965,HODGKIN LYMPHOMA,9654/3,"Hodgkin lymph., lymphocyt. deplet., diffuse fibrosis",,,,,
VAGINA & LABIA,965,HODGKIN LYMPHOMA,9655/3,"Hodgkin lymphoma, lymphocyt. deplet., reticular",,,,,
VAGINA & LABIA,965,HODGKIN LYMPHOMA,9659/3,"Hodgkin lymph., nodular lymphocyte predom.",,,,,
VAGINA & LABIA,966,"HODGKIN LYMPHOMA, NOD. SCLER.",9661/3,Hodgkin granuloma [obs],,,,,
VAGINA & LABIA,966,"HODGKIN LYMPHOMA, NOD. SCLER.",9662/3,Hodgkin sarcoma [obs],,,,,
VAGINA & LABIA,966,"HODGKIN LYMPHOMA, NOD. SCLER.",9663/3,"Hodgkin lymphoma, nodular sclerosis, NOS",,,,,
VAGINA & LABIA,966,"HODGKIN LYMPHOMA, NOD. SCLER.",9664/3,"Hodgkin lymphoma, nod. scler., cellular phase",,,,,
VAGINA & LABIA,966,"HODGKIN LYMPHOMA, NOD. SCLER.",9665/3,"Hodgkin lymphoma, nod. scler., grade 1",,,,,
VAGINA & LABIA,966,"HODGKIN LYMPHOMA, NOD. SCLER.",9667/3,"Hodgkin lymphoma, nod. scler., grade 2",,,,,
VAGINA & LABIA,967,"ML, SMALL B-CELL LYMPHOCYTIC",9670/3,"ML, small B lymphocytic, NOS",,,,,
VAGINA & LABIA,967,"ML, SMALL B-CELL LYMPHOCYTIC",9671/3,"ML, lymphoplasmacytic",,,,,
VAGINA & LABIA,967,"ML, SMALL B-CELL LYMPHOCYTIC",9673/3,Mantle cell lymphoma,,,,,
VAGINA & LABIA,967,"ML, SMALL B-CELL LYMPHOCYTIC",9675/3,"ML, mixed sm. and lg. cell, diffuse",,,,,
VAGINA & LABIA,968,"ML, LARGE B-CELL, DIFFUSE",9680/3,"ML, large B-cell, diffuse",,,,,
VAGINA & LABIA,968,"ML, LARGE B-CELL, DIFFUSE",9684/3,"ML, large B-cell, diffuse, immunoblastic, NOS",,,,,
VAGINA & LABIA,968,"ML, LARGE B-CELL, DIFFUSE",9687/3,"Burkitt lymphoma, NOS",,,,,
VAGINA & LABIA,968,"ML, LARGE B-CELL, DIFFUSE",9688/3,T-cell histiocyte rich large B-cell lymphoma,,,,,
VAGINA & LABIA,969,"FOLLIC. & MARGINAL LYMPH, NOS",9690/3,"Follicular lymphoma, NOS",,,,,
VAGINA & LABIA,969,"FOLLIC. & MARGINAL LYMPH, NOS",9691/3,"Follicular lymphoma, grade 2",,,,,
VAGINA & LABIA,969,"FOLLIC. & MARGINAL LYMPH, NOS",9695/3,"Follicular lymphoma, grade 1",,,,,
VAGINA & LABIA,969,"FOLLIC. & MARGINAL LYMPH, NOS",9698/3,"Follicular lymphoma, grade 3",,,,,
VAGINA & LABIA,969,"FOLLIC. & MARGINAL LYMPH, NOS",9699/3,"Marginal zone B-cell lymphoma, NOS",,,,,
VAGINA & LABIA,970,T-CELL LYMPHOMAS,9700/3,Mycosis fungoides,,,,,
VAGINA & LABIA,970,T-CELL LYMPHOMAS,9701/3,Sezary syndrome,,,,,
VAGINA & LABIA,970,T-CELL LYMPHOMAS,9702/3,"Mature T-cell lymphoma, NOS",,,,,
VAGINA & LABIA,970,T-CELL LYMPHOMAS,9705/3,Angioimmunoblastic T-cell lymphoma,,,,,
VAGINA & LABIA,970,T-CELL LYMPHOMAS,9708/3,Subcutaneous panniculitis-like T-cell lymphoma,,,,,
VAGINA & LABIA,970,T-CELL LYMPHOMAS,9709/3,"Cutaneous T-cell lymphoma, NOS",,,,,
VAGINA & LABIA,971,OTHER SPEC. NON-HODGKIN LYMPHOMA,9712/3,Intravascular large B-cell lymphoma,,,,,
VAGINA & LABIA,971,OTHER SPEC. NON-HODGKIN LYMPHOMA,9714/3,"Anaplastic large cell lymphoma, T-cell and Null cell type",,,,,
VAGINA & LABIA,971,OTHER SPEC. NON-HODGKIN LYMPHOMA,9715/3,"Anaplastic large cell lymphoma, ALK negative",,,,,
VAGINA & LABIA,971,OTHER SPEC. NON-HODGKIN LYMPHOMA,9718/3,Primary cutan. CD30+ T-cell lymphoprolif. disorder,,,,,
VAGINA & LABIA,971,OTHER SPEC. NON-HODGKIN LYMPHOMA,9719/3,"NK/T-cell lymphoma, nasal and nasal-type",,,,,
VAGINA & LABIA,972,PRECURS. CELL LYMPHOBLASTIC LYMPH.,9724/3,SystemicEBV pos. T-cell lymphoproliferative disease of childhood,,,,,
VAGINA & LABIA,972,PRECURS. CELL LYMPHOBLASTIC LYMPH.,9725/3,Hydroa vacciniforme-like lymphoma,,,,,
VAGINA & LABIA,972,PRECURS. CELL LYMPHOBLASTIC LYMPH.,9726/3,Primary Cutaneous gamma-delta T-cell lymphoma,,,,,
VAGINA & LABIA,972,PRECURS. CELL LYMPHOBLASTIC LYMPH.,9727/3,"Precursor cell lymphoblastic lymphoma, NOS",,,,,
VAGINA & LABIA,972,PRECURS. CELL LYMPHOBLASTIC LYMPH.,9728/3,Precursor B-cell lymphoblastic lymphoma,,,,,
VAGINA & LABIA,972,PRECURS. CELL LYMPHOBLASTIC LYMPH.,9729/3,Precursor T-cell lymphoblastic lymphoma,,,,,
VAGINA & LABIA,973,PLASMA CELL TUMORS,9731/3,"Plasmacytoma, NOS",,,,,
VAGINA & LABIA,973,PLASMA CELL TUMORS,9734/3,"Plasmacytoma, extramedullary",,,,,
VAGINA & LABIA,973,PLASMA CELL TUMORS,9735/3,Plasmablastic lymphoma,,,,,
VAGINA & LABIA,973,PLASMA CELL TUMORS,9737/3,ALK positive large B-cell lymphoma,,,,,
VAGINA & LABIA,973,PLASMA CELL TUMORS,9738/3,Lrg B-cell lymphoma in HHV8-assoc. multicentric Castleman DZ,,,,,
VAGINA & LABIA,974,MAST CELL TUMORS,9740/3,Mast cell sarcoma,,,,,
VAGINA & LABIA,974,MAST CELL TUMORS,9741/3,Malignant mastocytosis,,,,,
VAGINA & LABIA,974,MAST CELL TUMORS,9749/3,Erdhiem-Chester Disease,,,,,
VAGINA & LABIA,975,NEOPLASMS OF HISTIOCYTES AND ACCESSORY LYMPHOID CELLS,9750/3,Malignant histiocytosis,,,,,
VAGINA & LABIA,975,NEOPLASMS OF HISTIOCYTES AND ACCESSORY LYMPHOID CELLS,9751/3,"Langerhans cell histiocytosis, NOS",,,,,
VAGINA & LABIA,975,NEOPLASMS OF HISTIOCYTES AND ACCESSORY LYMPHOID CELLS,9754/3,"Langerhans cell histiocytosis, disseminated",,,,,
VAGINA & LABIA,975,NEOPLASMS OF HISTIOCYTES AND ACCESSORY LYMPHOID CELLS,9755/3,Histiocytic sarcoma,,,,,
VAGINA & LABIA,975,NEOPLASMS OF HISTIOCYTES AND ACCESSORY LYMPHOID CELLS,9756/3,Langerhans cell sarcoma,,,,,
VAGINA & LABIA,975,NEOPLASMS OF HISTIOCYTES AND ACCESSORY LYMPHOID CELLS,9757/3,Interdigitating dendritic cell sarcoma,,,,,
VAGINA & LABIA,975,NEOPLASMS OF HISTIOCYTES AND ACCESSORY LYMPHOID CELLS,9758/3,Follicular dendritic cell sarcoma,,,,,
VAGINA & LABIA,975,NEOPLASMS OF HISTIOCYTES AND ACCESSORY LYMPHOID CELLS,9759/3,Fibroblastic reticular cell tumor,,,,,
VAGINA & LABIA,976,IMMUNOPROLIFERATIVE DISEASES,9766/3,"Lymphomatoid granulomatosis, grade 3",,,,,
VAGINA & LABIA,981,PRECURSOR LYMPHOID NEOPLASMS,9811/3,"B lymphoblastic leukemia/lymphoma, NOS",,,,,
VAGINA & LABIA,981,PRECURSOR LYMPHOID NEOPLASMS,9812/3,Leukemia/lymphoma with t(9;22)(q34;q11.2);BCR-ABL1,,,,,
VAGINA & LABIA,981,PRECURSOR LYMPHOID NEOPLASMS,9813/3,Leukemia/lymphoma with t(v;11q23);MLL rearranged,,,,,
VAGINA & LABIA,981,PRECURSOR LYMPHOID NEOPLASMS,9814/3,Leukemia/lymphoma with t(12;21)(p13;q22);TEL-AML1(ETV6-RUNX1),,,,,
VAGINA & LABIA,981,PRECURSOR LYMPHOID NEOPLASMS,9815/3,B lymphoblastic leukemia/lymphoma with hyperdiploidy,,,,,
VAGINA & LABIA,981,PRECURSOR LYMPHOID NEOPLASMS,9816/3,Leukemia/lymphoma with hypodiploidy (hypodiploid ALL),,,,,
VAGINA & LABIA,981,PRECURSOR LYMPHOID NEOPLASMS,9817/3,B lymphblastic leukemia/lymphoma with t(5;14)(q31;q32);IL3-IGH,,,,,
VAGINA & LABIA,981,PRECURSOR LYMPHOID NEOPLASMS,9818/3,Leukemia/lymphoma with t(1;19)(q23;p13.3); E2A PBX1 (TCF3 PBX1),,,,,
VAGINA & LABIA,981,PRECURSOR LYMPHOID NEOPLASMS,9819/3,"B-lymphocytic leukemia/lymphoma, BCR-ABL1-like",,,,,
VAGINA & LABIA,982,"LYMPHOID LEUKEMIA, NOS",9823/3,Chronic lymphocytic leukemia/small lymphocytic lymphoma,,,,,
VAGINA & LABIA,983,PROLYMPH/PRECURS LEUKEMIA,9831/3,T-cell large granular lymphocytic leukemia,,,,,
VAGINA & LABIA,983,PROLYMPH/PRECURS LEUKEMIA,9837/3,T lymphoblastic leukemia/lymphoma,,,,,
VAGINA & LABIA,996,CHRONIC MYELOPROLIFERATIVE DIS.,9965/3,Myeloid and lymphoid neoplasms with PDGFRB rearrangement,,,,,
VAGINA & LABIA,996,CHRONIC MYELOPROLIFERATIVE DIS.,9967/3,Myeloid and lymphoid neoplasm with FGFR1 abnormalities,,,,,
VAGINA & LABIA,997,MYELOPLASTIC/MYELOPROLIFERATIVE NEOPLASMS,9971/3,Polymorphic PTLD,,,,,
VAGINA & LABIA,997,MYELOPLASTIC/MYELOPROLIFERATIVE NEOPLASMS,9975/3,"Myelodysplastic/Myeloproliferative neoplasm, unclassifiable",,,,,
"VULVA, NOS",800,NEOPLASM,8000/3,"Neoplasm, malignant",,,,,
"VULVA, NOS",800,NEOPLASM,8001/3,"Tumor cells, malignant",,,,,
"VULVA, NOS",800,NEOPLASM,8002/3,"Malignant tumor, small cell type",,,,,
"VULVA, NOS",800,NEOPLASM,8003/3,"Malignant tumor, giant cell type",,,,,
"VULVA, NOS",800,NEOPLASM,8004/3,"Malignant tumor, spindle cell type",,,,,
"VULVA, NOS",800,NEOPLASM,8005/3,"Malignant tumor, clear cell type",,,,,
"VULVA, NOS",801,"CARCINOMA, NOS",8010/2,"Carcinoma in situ, NOS",,,,,
"VULVA, NOS",801,"CARCINOMA, NOS",8010/3,"Carcinoma, NOS",,,,,
"VULVA, NOS",801,"CARCINOMA, NOS",8011/3,"Epithelioma, malignant",,,,,
"VULVA, NOS",801,"CARCINOMA, NOS",8012/3,"Large cell carcinoma, NOS",,,,,
"VULVA, NOS",801,"CARCINOMA, NOS",8013/3,Large cell neuroendocrine carcinoma,,,,,
"VULVA, NOS",801,"CARCINOMA, NOS",8014/3,Large cell carcinoma with rhabdoid phenotype,,,,,
"VULVA, NOS",801,"CARCINOMA, NOS",8015/3,Glassy cell carcinoma,,,,,
"VULVA, NOS",802,"CARCINOMA, UNDIFF., NOS",8020/3,"Carcinoma, undifferentiated type, NOS",,,,,
"VULVA, NOS",802,"CARCINOMA, UNDIFF., NOS",8021/3,"Carcinoma, anaplastic type, NOS",,,,,
"VULVA, NOS",802,"CARCINOMA, UNDIFF., NOS",8022/3,Pleomorphic carcinoma,,,,,
"VULVA, NOS",804,"SMALL CELL CARCINOMA, NOS",8041/3,"Small cell carcinoma, NOS",,,,,
"VULVA, NOS",805,"PAPILLARY CARCINOMA, NOS",8050/2,Papillary carcinoma in situ,,,,,
"VULVA, NOS",805,"PAPILLARY CARCINOMA, NOS",8050/3,"Papillary carcinoma, NOS",,,,,
"VULVA, NOS",805,"PAPILLARY CARCINOMA, NOS",8051/3,"Verrucous carcinoma, NOS",,,,,
"VULVA, NOS",805,"PAPILLARY CARCINOMA, NOS",8052/2,"Papillary squamous cell carcinoma, non-invasive",,,,,
"VULVA, NOS",805,"PAPILLARY CARCINOMA, NOS",8052/3,Papillary squamous cell carcinoma,,,,,
"VULVA, NOS",807,"SQUAMOUS CELL CARCINOMA, NOS",8070/2,"Squamous cell carcinoma in situ, NOS",,,,,
"VULVA, NOS",807,"SQUAMOUS CELL CARCINOMA, NOS",8070/3,"Squamous cell carcinoma, NOS",,,,,
"VULVA, NOS",807,"SQUAMOUS CELL CARCINOMA, NOS",8071/2,"Sq. cell carcinoma, keratinizing, NOS, in situ",,,,,
"VULVA, NOS",807,"SQUAMOUS CELL CARCINOMA, NOS",8071/3,"Sq. cell carcinoma, keratinizing, NOS",,,,,
"VULVA, NOS",807,"SQUAMOUS CELL CARCINOMA, NOS",8072/3,"Sq. cell carcinoma, lg. cell, non-ker.",,,,,
"VULVA, NOS",807,"SQUAMOUS CELL CARCINOMA, NOS",8073/3,"Sq. cell carcinoma, sm. cell, non-ker.",,,,,
"VULVA, NOS",807,"SQUAMOUS CELL CARCINOMA, NOS",8074/3,"Sq. cell carcinoma, spindle cell",,,,,
"VULVA, NOS",807,"SQUAMOUS CELL CARCINOMA, NOS",8075/3,"Squamous cell carcinoma, adenoid",,,,,
"VULVA, NOS",807,"SQUAMOUS CELL CARCINOMA, NOS",8076/2,Sq. cell carc. in situ with question. stromal invas.,,,,,
"VULVA, NOS",807,"SQUAMOUS CELL CARCINOMA, NOS",8076/3,"Sq. cell carcinoma, micro-invasive",,,,,
"VULVA, NOS",807,"SQUAMOUS CELL CARCINOMA, NOS",8077/2,"Squamous intraepithelial neoplasia, grade III",,,,,
"VULVA, NOS",807,"SQUAMOUS CELL CARCINOMA, NOS",8078/3,Squamous cell carcinoma with horn formation,,,,,
"VULVA, NOS",808,LYMPHOEPITHELIAL CARCINOMA,8081/2,Bowen disease,,,,,
"VULVA, NOS",808,LYMPHOEPITHELIAL CARCINOMA,8082/3,Lymphoepithelial carcinoma,,,,,
"VULVA, NOS",808,LYMPHOEPITHELIAL CARCINOMA,8083/3,Basaloid squamous cell carcinoma,,,,,
"VULVA, NOS",808,LYMPHOEPITHELIAL CARCINOMA,8084/3,"Squamous cell carcinoma, clear cell type",,,,,
"VULVA, NOS",808,LYMPHOEPITHELIAL CARCINOMA,8085/3,"Squamous cell carcinoma, HPV-positive",,,,,
"VULVA, NOS",808,LYMPHOEPITHELIAL CARCINOMA,8086/3,"Squamous cell carcinoma, HPV-negative",,,,,
"VULVA, NOS",809,"BASAL CELL CARCINOMA, NOS",8090/3,"Basal cell carcinoma, NOS",,,,,
"VULVA, NOS",809,"BASAL CELL CARCINOMA, NOS",8091/3,Multifocal superficial basal cell carcinoma,,,,,
"VULVA, NOS",809,"BASAL CELL CARCINOMA, NOS",8092/3,"Infiltrating basal cell carcinoma, NOS",,,,,
"VULVA, NOS",809,"BASAL CELL CARCINOMA, NOS",8093/3,"Basal cell carcinoma, fibroepithelial",,,,,
"VULVA, NOS",809,"BASAL CELL CARCINOMA, NOS",8094/3,Basosquamous carcinoma,,,,,
"VULVA, NOS",809,"BASAL CELL CARCINOMA, NOS",8095/3,Metatypical carcinoma,,,,,
"VULVA, NOS",809,"BASAL CELL CARCINOMA, NOS",8097/3,"Basal cell carcinoma, nodular",,,,,
"VULVA, NOS",809,"BASAL CELL CARCINOMA, NOS",8098/3,Adenoid basal cell carcinoma,,,,,
"VULVA, NOS",810,TRICHILEMMOCARCINOMA,8102/3,Trichilemmocarcinoma,,,,,
"VULVA, NOS",811,PILOMATRIX CARCINOMA,8110/3,Pilomatrix carcinoma,,,,,
"VULVA, NOS",812,"TRANSITIONAL CELL CARCINOMA, NOS",8120/2,Transitional cell carcinoma in situ,,,,,
"VULVA, NOS",812,"TRANSITIONAL CELL CARCINOMA, NOS",8120/3,"Transitional cell carcinoma, NOS",,,,,
"VULVA, NOS",812,"TRANSITIONAL CELL CARCINOMA, NOS",8121/3,Schneiderian carcinoma,,,,,
"VULVA, NOS",812,"TRANSITIONAL CELL CARCINOMA, NOS",8122/3,"Trans. cell carcinoma, spindle cell",,,,,
"VULVA, NOS",812,"TRANSITIONAL CELL CARCINOMA, NOS",8123/3,Basaloid carcinoma,,,,,
"VULVA, NOS",812,"TRANSITIONAL CELL CARCINOMA, NOS",8124/3,Cloacogenic carcinoma,,,,,
"VULVA, NOS",813,PAPILLARY TRANS. CELL CARCINOMA,8130/2,"Papillary trans. cell carcinoma, non-invasive",,,,,
"VULVA, NOS",813,PAPILLARY TRANS. CELL CARCINOMA,8130/3,Papillary trans. cell carcinoma,,,,,
"VULVA, NOS",813,PAPILLARY TRANS. CELL CARCINOMA,8131/3,"Transitional cell carcinoma, micropapillary",,,,,
"VULVA, NOS",814,"ADENOCARCINOMA, NOS",8140/2,Adenocarcinoma in situ,,,,,
"VULVA, NOS",814,"ADENOCARCINOMA, NOS",8140/3,"Adenocarcinoma, NOS",,,,,
"VULVA, NOS",814,"ADENOCARCINOMA, NOS",8141/3,Scirrhous adenocarcinoma,,,,,
