,Foundation.URI,Code,Title,DepthInKind,isLeaf,icd_code
1730,,2C75.Z,"Malignant neoplasms of placenta, unspecified",2,TRUE,"2C75.Z - Malignant neoplasms of placenta, unspecified"
1731,http://id.who.int/icd/entity/959493854,2C76,Malignant neoplasms of corpus uteri,1,FALSE,2C76 - Malignant neoplasms of corpus uteri
1732,http://id.who.int/icd/entity/671511103,2C76.0,Endometrial endometrioid adenocarcinoma,2,TRUE,2C76.0 - Endometrial endometrioid adenocarcinoma
1733,http://id.who.int/icd/entity/395055399,2C76.1,Endometrial mucinous adenocarcinoma,2,TRUE,2C76.1 - Endometrial mucinous adenocarcinoma
1734,http://id.who.int/icd/entity/388735319,2C76.2,Endometrial clear cell adenocarcinoma,2,TRUE,2C76.2 - Endometrial clear cell adenocarcinoma
1735,http://id.who.int/icd/entity/225222541,2C76.3,Endometrial serous adenocarcinoma,2,TRUE,2C76.3 - Endometrial serous adenocarcinoma
1736,http://id.who.int/icd/entity/575106861,2C76.4,Endometrial mixed adenocarcinoma,2,FALSE,2C76.4 - Endometrial mixed adenocarcinoma
1737,http://id.who.int/icd/entity/1130568776,2C76.40,Endometrial squamous cell carcinoma,3,TRUE,2C76.40 - Endometrial squamous cell carcinoma
1738,http://id.who.int/icd/entity/845680139,2C76.41,Endometrial small cell carcinoma,3,TRUE,2C76.41 - Endometrial small cell carcinoma
1739,http://id.who.int/icd/entity/130578959,2C76.42,Endometrial undifferentiated carcinoma,3,TRUE,2C76.42 - Endometrial undifferentiated carcinoma
1740,http://id.who.int/icd/entity/1711927798,2C76.43,Carcinosarcoma of uterus,3,TRUE,2C76.43 - Carcinosarcoma of uterus
1741,,2C76.Y,Other specified malignant neoplasms of corpus uteri,2,TRUE,2C76.Y - Other specified malignant neoplasms of corpus uteri
1742,,2C76.Z,"Malignant neoplasms of corpus uteri, unspecified",2,TRUE,"2C76.Z - Malignant neoplasms of corpus uteri, unspecified"
1743,http://id.who.int/icd/entity/1256072522,2C77,Malignant neoplasms of cervix uteri,1,FALSE,2C77 - Malignant neoplasms of cervix uteri
1744,http://id.who.int/icd/entity/1544785014,2C77.0,Squamous cell carcinoma of cervix uteri,2,TRUE,2C77.0 - Squamous cell carcinoma of cervix uteri
1745,http://id.who.int/icd/entity/261293318,2C77.1,Adenocarcinoma of cervix uteri,2,TRUE,2C77.1 - Adenocarcinoma of cervix uteri
