"","PROC.CODE","PROCEDURE.DESCRIPTION"
"174","15850","REMOVE SUTURES SAME SURGEON        "
"175","15851","REMOVE SUTURES DIFF SURGEON        "
"176","15852","DRESSING CHANGE NOT FOR BURN       "
"177","15860","TEST FOR BLOOD FLOW IN GRAFT       "
"178","15875","SUCTION ASSISTED LIPECTOMY, ANY SIT"
"179","15876","SUCTION LIPECTOMY HEAD&NECK        "
"180","15877","SUCTION LIPECTOMY TRUNK            "
"181","15878","SUCTION LIPECTOMY UPR EXTREM       "
"182","15879","SUCTION LIPECTOMY LWR EXTREM       "
"183","15920","REMOVAL OF TAIL BONE ULCER         "
"184","15922","EXCISION, COCCYGEAL PRESSURE ULCER,"
"185","15930","REMOVAL OF PRESSURE SORE           "
"186","15931","REMOVE SACRUM PRESSURE SORE        "
"187","15935","EXCISION, SACRAL PRESSURE ULCER, WI"
"188","15937","EXCISION, SACRAL PRESSURE ULCER, IN"
"189","15940","REMOVE HIP PRESSURE SORE           "
"190","15945","EXCISION, ISCHIAL PRESSURE ULCER, W"
"191","15950","REMOVE THIGH PRESSURE SORE         "
"192","15953","EXCISION, TROCHANTERIC PRESSURE ULC"
"193","15960","EXCISION, HEEL PRESSURE ULCER, WITH"
"194","15962","EXCISION CALCANEAL ULCER/PINCH GRAF"
"195","15963","EXCISION CALCANEAL ULCER/FLAPTOSTEC"
"196","15970","EXCISION, LEG PRESSURE ULCER, WITH "
"197","15980","EXCISION, KNEE PRESSURE ULCER, WITH"
"198","16000","INITIAL TREATMENT OF BURN(S)       "
"199","16010","DRESSINGS AND/OR DEBRIDEMENT, INITI"
"200","16020","DRESS/DEBRID P-THICK BURN S        "
"201","16025","DRESS/DEBRID P-THICK BURN M        "
"202","16030","DRESS/DEBRID P-THICK BURN L        "
"203","16035","INCISION OF BURN SCAB INITI        "
"204","16036","ESCHAROTOMY ADDL INCISION          "
"205","16040","EXCISION BURN WOUND, WITHOUT SKIN G"
"206","17000","DESTRUCT PREMALG LESION            "
"207","17001","DESTRUCTION BY ANY METHOD, INCLUDIN"
"208","17003","DESTRUCT PREMALG LES 2-14"
"209","17004","DESTROY PREMAL LESIONS 15/>"
"210","17110","DESTRUCT B9 LESION 1-14"
"211","17111","DESTRUCT LESION 15 OR MORE"
"212","17200","ELECTROSURGICAL DESTRUCTION OF MULT"
"213","17250","CHEM CAUT OF GRANLTJ TISSUE        "
"214","17260","DESTRUCTION OF SKIN LESIONS        "
"215","17307","CHEMOSURGERY (MOHS MICROGRAPHIC TEC"
"216","17311","MOHS 1 STAGE H/N/HF/G"
"217","17312","MOHS ADDL STAGE                    "
"218","17313","MOHS 1 STAGE T/A/L"
"219","17314","MOHS ADDL STAGE T/A/L              "
"220","17315","MOHS SURG ADDL BLOCK               "
"221","17340","CRYOTHERAPY OF SKIN                "
"222","17360","SKIN PEEL THERAPY                  "
"223","17380","HAIR REMOVAL BY ELECTROLYSIS       "
"224","17499","PROCEDURES FOR SKIN THERAPY        "
"225","17999","SKIN TISSUE PROCEDURE              "
"226","19000","DRAINAGE OF BREAST LESION          "
"227","19001","DRAIN BREAST LESION ADD-ON         "
"228","19020","INCISION OF BREAST LESION          "
"229","19030","INJECTION PROCEDURE ONLY FOR MAMMAR"
"230","19081","BX BREAST 1ST LESION STRTCTC"
"231","19082","BX BREAST ADD LESION STRTCTC       "
"232","19083","BX BREAST 1ST LESION US IMAG"
"233","19084","BX BREAST ADD LESION US IMAG       "
"234","19085","BX BREAST 1ST LESION MR IMAG"
"235","19086","BX BREAST ADD LESION MR IMAG       "
"236","19100","BIOPSY OF BREAST; PERCUTANEOUS, NEE"
"237","19101","BIOPSY OF BREAST OPEN              "
"238","19103","BIOPSY OF BREAST; PERCUTANEOUS, AUT"
"239","19105","CRYOSURG ABLATE FA EACH            "
"240","19110","NIPPLE EXPLORATION, WITH OR WITHOUT"
"241","19112","EXCISION OF LACTIFEROUS DUCT FISTUL"
"242","19120","REMOVAL OF BREAST LESION           "
"243","19121","REMOVAL OF BREAST LESIONS          "
"244","19125","EXCISION BREAST LESION             "
"245","19126","EXCISION ADDL BREAST LESION        "
"246","19140","MASTECTOMY FOR GYNECOMASTIA        "
"247","19141","REMOVAL OF BREAST TISSUE           "
"248","19160","PARTIAL MASTECTOMY                 "
"249","19162","P-MASTECTOMY W/LN REMOVAL          "
"250","19180","MASTECTOMY, SIMPLE, COMPLETE       "
"251","19181","REMOVAL OF BREASTS                 "
"252","19182","MASTECTOMY, SUBCUTANEOUS           "
"253","19184","BREAST SURGERY WITH IMPLANT        "
"254","19200","MASTECTOMY, RADICAL, INCLUDING PECT"
"255","19205","MASTECTOMY RADICAL BILATERAL       "
"256","19211","MASTECTOMY RADICAL W/IMPLANT UNILAT"
"257","19212","MASTECTOMY RADICAL W/IMPLANT BILAT "
"258","19215","MASTECTOMY RADICAL/DELAYED IMPLANT "
"259","19216","MASTECTOMY RADICAL URBAN UNILATERAL"
"260","19221","MASTECTOMY RADICAL URBAN BILATERAL "
"261","19224","MASTECTOMY URBAN/IMPLANT UNILATERAL"
"262","19225","MASTECTOMY URBAN/IMPLANT BILATERAL "
"263","19228","MASTECTOMY URBAN/DELAYED IMPLANT   "
"264","19229","MASTECTOMY URBAN BILAT DELAY/IMPLAN"
"265","19240","MASTECTOMY, MODIFIED RADICAL, INCLU"
"266","19245","MASTECTOMY MODIFIED RADICAL BILAT  "
"267","19250","MASTECTOMY MODIFIED RADICAL/IMPLANT"
"268","19260","REMOVAL OF CHEST WALL LESION       "
"269","19271","EXCISION OF CHEST WALL TUMOR INVOLV"
"270","19281","PERQ DEVICE BREAST 1ST IMAG"
"271","19282","PERQ DEVICE BREAST EA IMAG         "
"272","19283","PERQ DEV BREAST 1ST STRTCTC"
"273","19284","PERQ DEV BREAST ADD STRTCTC        "
"274","19285","PERQ DEV BREAST 1ST US IMAG"
"275","19286","PERQ DEV BREAST ADD US IMAG        "
"276","19287","PERQ DEV BREAST 1ST MR GUIDE"
"277","19288","PERQ DEV BREAST ADD MR GUIDE       "
"278","19290","PLACE NEEDLE WIRE BREAST           "
"279","19294","PREP TUM CAV IORT PRTL MAST        "
"280","19295","PLACE BREAST CLIP PERCUT           "
"281","19296","PLACE PO BREAST CATH FOR RAD       "
"282","19297","PLACE BREAST CATH FOR RAD          "
"283","19298","PLACE BREAST RAD TUBE/CATHS        "
"284","19303","MAST SIMPLE COMPLETE               "
"285","19304","MAST SUBQ                          "
"286","19305","MAST RADICAL                       "
"287","19306","MAST RAD URBAN TYPE                "
"288","19307","MAST MOD RAD                       "
"289","19310","REPAIR OF BREAST                   "
"290","19311","REPAIR OF BREASTS                  "
"291","19316","SUSPENSION OF BREAST               "
