"","PROC.CODE","PROCEDURE.DESCRIPTION"
"971","44150","REMOVAL OF COLON                   "
"972","44151","REMOVAL OF COLON/ILEOSTOMY         "
"973","44152","COLECTOMY, TOTAL, ABDOMINAL, WITHOU"
"974","44157","COLECTOMY W/ILEOANAL ANAST         "
"975","44158","COLECTOMY W/NEO-RECTUM POUCH       "
"976","44160","COLECTOMY, PARTIAL, WITH REMOVAL OF"
"977","44180","LAP ENTEROLYSIS                    "
"978","44186","LAP JEJUNOSTOMY                    "
"979","44187","LAP ILEO/JEJUNO-STOMY              "
"980","44188","LAP COLOSTOMY                      "
"981","44200","LAPAROSCOPY, SURGICAL; ENTEROLYSIS "
"982","44201","LAPAROSCOPY, SURGICAL; JEJUNOSTOMY "
"983","44202","LAP ENTERECTOMY                    "
"984","44203","LAP RESECT S/INTESTINE ADDL        "
"985","44204","LAPAROSCOPY, SURGICAL; COLECTOMY, P"
"986","44206","LAP PART COLECTOMY W/STOMA         "
"987","44208","L COLECTOMY/COLOPROCTOSTOMY        "
"988","44209","UNLISTED LAPAROSCOPY PROCEDURE, INT"
"989","44210","LAPAROSCOPY, SURGICAL; COLECTOMY, T"
"990","44211","LAP COLECTOMY W/PROCTECTOMY        "
"991","44212","LAPARO TOTAL PROCTOCOLECTOMY       "
"992","44213","LAP MOBIL SPLENIC FL ADD-ON        "
"993","44227","LAP CLOSE ENTEROSTOMY              "
"994","44238","LAPAROSCOPE PROC INTESTINE         "
"995","44239","UNLISTED LAPAROSCOPY PROCEDURE, REC"
"996","44300","OPEN BOWEL TO SKIN                 "
"997","44305","ENTEROSTOMY OR CECOSTOMY, TUBE (EG,"
"998","44308","ENTEROSTOMY, SUTURE OF ONE WALL OF "
"999","44310","ILEOSTOMY/JEJUNOSTOMY              "
"1000","44312","REVISION OF ILEOSTOMY              "
"1001","44316","DEVISE BOWEL POUCH                 "
"1002","44320","COLOSTOMY                          "
"1003","44322","COLOSTOMY WITH BIOPSIES            "
"1004","44340","REVISION OF COLOSTOMY              "
"1005","44360","SMALL BOWEL ENDOSCOPY              "
"1006","44361","SMALL BOWEL ENDOSCOPY/BIOPSY       "
"1007","44370","SMALL BOWEL ENDOSCOPY/STENT        "
"1008","44375","FIBEROPTIC GASTROJEJUNOS COPY      "
"1009","44379","S BOWEL ENDOSCOPE W/STENT          "
"1010","44380","SMALL BOWEL ENDOSCOPY BR/WA        "
"1011","44383","ILEOSCOPY, THROUGH STOMA; WITH TRAN"
"1012","44385","ENDOSCOPY OF BOWEL POUCH           "
"1013","44386","ENDOSCOPY BOWEL POUCH/BIOP         "
"1014","44388","COLONOSCOPY THRU STOMA SPX         "
"1015","44389","COLONOSCOPY WITH BIOPSY            "
"1016","44390","COLONOSCOPY FOR FOREIGN BODY       "
"1017","44391","COLONOSCOPY FOR BLEEDING           "
"1018","44392","COLONOSCOPY & POLYPECTOMY          "
"1019","44393","COLONOSCOPY LESION REMOVAL         "
"1020","44394","COLONOSCOPY W/SNARE                "
"1021","44397","COLONOSCOPY THROUGH STOMA; WITH TRA"
"1022","44400","CECOPEXY, FIXATION OF CECUM TO ABDO"
"1023","44401","COLONOSCOPY WITH ABLATION          "
"1024","44402","COLONOSCOPY W/STENT PLCMT          "
"1025","44403","COLONOSCOPY W/RESECTION            "
"1026","44404","COLONOSCOPY W/INJECTION            "
"1027","44405","COLONOSCOPY W/DILATION             "
"1028","44406","COLONOSCOPY W/ULTRASOUND           "
"1029","44407","COLONOSCOPY W/NDL ASPIR/BX         "
"1030","44408","COLONOSCOPY W/DECOMPRESSION        "
"1031","4450F","SELF-CARE ED PROVIDED TO PT        "
"1032","44500","INTRO GASTROINTESTINAL TUBE        "
"1033","44600","SUTURE OF INTESTINE (ENTERORRHAPHY)"
"1034","44602","SUTURE SMALL INTESTINE             "
"1035","44604","SUTURE LARGE INTESTINE             "
"1036","44605","REPAIR OF BOWEL LESION             "
"1037","44615","INTESTINAL STRICTUROPLASTY (ENTEROT"
"1038","44620","REPAIR BOWEL OPENING               "
"1039","44640","REPAIR BOWEL-SKIN FISTULA          "
"1040","44650","CLOSURE OF ENTEROENTERIC OR ENTEROC"
"1041","44660","REPAIR BOWEL-BLADDER FISTULA       "
"1042","44680","SURGICAL REVISION INTESTINE        "
"1043","4470F","ICD COUNSELING PROVIDED            "
"1044","44700","SUSPEND BOWEL W/PROSTHESIS         "
"1045","44701","INTRAOPERATIVE COLONIC LAVAGE (LIST"
"1046","44705","PREPARE FECAL MICROBIOTA           "
"1047","44715","PREPARE DONOR INTESTINE            "
"1048","44720","PREP DONOR INTESTINE/VENOUS        "
"1049","44721","PREP DONOR INTESTINE/ARTERY        "
"1050","44799","UNLISTED PX SMALL INTESTINE        "
"1051","4480F","PT RCVNG ACE/ARB B-BLOCKERTX       "
"1052","44800","EXCISION OF BOWEL POUCH            "
"1053","4481F","PT RCVNG ACE/ARB BLKER >3MOS"
"1054","44820","EXCISION OF MESENTERY LESION       "
"1055","44850","SUTURE OF MESENTERY (SEPARATE PROCE"
"1056","44899","BOWEL SURGERY PROCEDURE            "
"1057","44900","DRAIN APPENDIX ABSCESS OPEN        "
"1058","44901","DRAIN APP ABSCESS PERCUT           "
"1059","44950","APPENDECTOMY;                      "
"1060","44955","APPENDECTOMY ADD-ON                "
"1061","44960","APPENDECTOMY; FOR RUPTURED APPENDIX"
"1062","44970","LAPAROSCOPY APPENDECTOMY           "
"1063","44979","LAPAROSCOPE PROC APP               "
"1064","4500F","REF TO OUTPT CARD REHAB PROG       "
"1065","45000","DRAINAGE OF PELVIC ABSCESS         "
"1066","45005","DRAINAGE OF RECTAL ABSCESS         "
"1067","4510F","PREV CARDREHAB QUALCARDEVENT       "
"1068","45100","BIOPSY OF RECTUM                   "
"1069","45105","BIOPSY OF ANORECTAL WALL, ANAL APPR"
"1070","45108","REMOVAL OF ANORECTAL LESION        "
"1071","45110","REMOVAL OF RECTUM                  "
"1072","45111","PARTIAL REMOVAL OF RECTUM          "
"1073","45113","PARTIAL PROCTECTOMY                "
"1074","45119","REMOVE RECTUM W/RESERVOIR          "
"1075","45121","REMOVAL OF RECTUM AND COLON        "
"1076","45126","PELVIC EXENTERATION                "
"1077","45130","EXCISION OF RECTAL PROLAPSE        "
"1078","45136","EXCISE ILEOANAL RESERVIOR          "
"1079","45150","EXCISION OF RECTAL STRICTURE       "
"1080","45160","EXCISION OF RECTAL LESION          "
"1081","45170","EXCISION OF RECTAL TUMOR, TRANSANAL"
"1082","45171","EXC RECT TUM TRANSANAL PART        "
"1083","45172","EXC RECT TUM TRANSANAL FULL        "
"1084","45180","EXCISION AND/OR ELECTRODESICCATION "
"1085","45190","DESTRUCTION RECTAL TUMOR           "
"1086","4525F","NEUROPSYCHIA INTERVEN ORDER        "
"1087","4526F","NEUROPSYCHIA INTERVEN RCVD         "
"1088","45300","PROCTOSIGMOIDOSCOPY DX             "
"1089","45302","PROCTOSIGMOIDOSCOPY; WITH COLLECTIO"
"1090","45303","PROCTOSIGMOIDOSCOPY DILATE         "
"1091","45305","PROCTOSIGMOIDOSCOPY W/BX           "
"1092","45307","PROCTOSIGMOIDOSCOPY FB             "
"1093","45308","PROCTOSIGMOIDOSCOPY REMOVAL        "
"1094","45310","PROCTOSIGMOIDOSCOPY; WITH REMOVAL O"
"1095","45317","PROCTOSIGMOIDOSCOPY BLEED          "
"1096","45319","PROCTOSIGMOIDOSCOPY                "
"1097","45320","PROCTOSIGMOIDOSCOPY ABLATE         "
"1098","45321","PROCTOSIGMOIDOSCOPY VOLVUL         "
"1099","45325","SURGICAL VISUALIZATION,COLON       "
"1100","45327","PROCTOSIGMOIDOSCOPY W/STENT        "
"1101","45330","DIAGNOSTIC SIGMOIDOSCOPY           "
"1102","45331","SIGMOIDOSCOPY AND BIOPSY           "
"1103","45332","SIGMOIDOSCOPY W/FB REMOVAL         "
"1104","45333","SIGMOIDOSCOPY & POLYPECTOMY        "
"1105","45334","SIGMOIDOSCOPY FOR BLEEDING         "
"1106","45335","SIGMOIDOSCOPY W/SUBMUC INJ         "
"1107","45336","SIGMOIDOSCOPY, FLEXIBLE FIBEROPTIC;"
"1108","45337","SIGMOIDOSCOPY & DECOMPRESS         "
"1109","45338","SIGMOIDOSCOPY W/TUMR REMOVE        "
"1110","45339","SIGMOIDOSCOPY, FLEXIBLE; WITH ABLAT"
"1111","45340","SIG W/TNDSC BALLOON DILATION       "
"1112","45341","SIGMOIDOSCOPY W/ULTRASOUND         "
"1113","45342","SIGMOIDOSCOPY W/US GUIDE BX        "
"1114","45345","SIGMOIDOSCOPY, FLEXIBLE; WITH TRANS"
"1115","45346","SIGMOIDOSCOPY W/ABLATION           "
"1116","45347","SIGMOIDOSCOPY W/PLCMT STENT        "
"1117","45349","SIGMOIDOSCOPY W/RESECTION          "
"1118","45350","SGMDSC W/BAND LIGATION             "
"1119","45355","COLONOSCOPY, RIGID OR FLEXIBLE, TRA"
"1120","45360","COLONOSCOPY, FIBEROPTIC, BEYOND 25"
"1121","45371","COLONOSCOPY W/RETROGRADE LAVAGE    "
"1122","45378","DIAGNOSTIC COLONOSCOPY             "
"1123","45379","COLONOSCOPY W/FB REMOVAL           "
"1124","45380","COLONOSCOPY AND BIOPSY             "
"1125","45381","COLONOSCOPY SUBMUCOUS NJX          "
"1126","45382","COLONOSCOPY W/CONTROL BLEED        "
"1127","45383","COLONOSCOPY, FLEXIBLE, PROXIMAL TO "
"1128","45384","COLONOSCOPY W/LESION REMOVAL       "
"1129","45386","COLONOSCOPY W/BALLOON DILAT        "
"1130","45388","COLONOSCOPY W/ABLATION             "
"1131","45391","COLONOSCOPY W/ENDOSCOPE US         "
"1132","45392","COLONOSCOPY W/ENDOSCOPIC FNB       "
"1133","45395","LAP REMOVAL OF RECTUM              "
"1134","45397","LAP REMOVE RECTUM W/POUCH          "
"1135","45398","COLONOSCOPY W/BAND LIGATION        "
"1136","45399","UNLISTED PROCEDURE COLON           "
"1137","4540F","DISEASE MODIF PHARMACOTHXPY        "
"1138","45400","LAPAROSCOPIC PROC                  "
"1139","45402","LAP PROCTOPEXY W/SIG RESECT        "
"1140","4541F","PT OFFERED TX FOR PSEUDOBULB       "
"1141","45499","LAPAROSCOPE PROC RECTUM            "
"1142","4550F","NONINVAS RESP SUPPORT TALK         "
"1143","45500","REPAIR OF RECTUM                   "
"1144","4551F","NUTRITIONAL SUPPORT OFFERED        "
"1145","4552F","PT REF FOR SPEECH LANG PATH        "
"1146","45520","TREATMENT OF RECTAL PROLAPSE       "
"1147","45521","PERIRECTAL INJECTION OF SCLEROSING "
"1148","4553F","PT ASST RE END LIFE ISSUES         "
"1149","4554F","PT RECVD INHAL ANESTHETIC          "
"1150","45540","CORRECT RECTAL PROLAPSE            "
"1151","4555F","PT RECVD NO INHAL ANESTHIC         "
"1152","45550","REPAIR RECTUM/REMOVE SIGMOID       "
"1153","4556F","PT W/3+ POST-OP NAUSEA&VOM"
"1154","45560","REPAIR OF RECTOCELE                "
"1155","45562","EXPLORATION, REPAIR, AND PRESACRAL "
"1156","45563","EXPLORATION/REPAIR OF RECTUM       "
"1157","4557F","PT W/O 3+ POST-OPNAUSEA&VOM"
"1158","4558F","PT RECVD 2 RX ANTI-EMET AGT"
"1159","4559F","1 BODYTEMP >=35.5CW/IN 30MIN"
"1160","4560F","ANESTH W/O GEN/NEURAX ANESTH       "
"1161","4561F","PT W/ CORONARY ARTERY STENT        "
"1162","4562F","PT W/O CORONARY ARTERY STENT       "
"1163","4563F","PT RECVD ASPIRIN W/IN 24 HRS"
"1164","45800","REPAIR RECT/BLADDER FISTULA        "
"1165","45805","REPAIR FISTULA W/COLOSTOMY         "
"1166","45820","CLOSURE OF RECTOURETHRAL FISTULA;  "
"1167","45900","REDUCTION OF RECTAL PROLAPSE       "
"1168","45905","DILATION OF ANAL SPHINCTER         "
"1169","45910","DILATION OF RECTAL NARROWING       "
"1170","45915","REMOVE RECTAL OBSTRUCTION          "
"1171","45990","SURG DX EXAM ANORECTAL             "
"1172","45999","RECTUM SURGERY PROCEDURE           "
"1173","46000","FISTULOTOMY, SUBCUTANEOUS          "
"1174","46020","PLACEMENT OF SETON                 "
"1175","46030","REMOVAL OF RECTAL MARKER           "
"1176","46032","UNDERCUTTING FOR PRURITUS ANI (MODI"
"1177","46040","INCISION OF RECTAL ABSCESS         "
"1178","46050","INCISION OF ANAL ABSCESS           "
"1179","46070","INCISION OF ANAL SEPTUM            "
"1180","46080","INCISION OF ANAL SPHINCTER         "
"1181","46083","INCISE EXTERNAL HEMORRHOID         "
"1182","46200","REMOVAL OF ANAL FISSURE            "
"1183","46210","CRYPTECTOMY; SINGLE                "
"1184","46211","CRYPTECTOMY; MULTIPLE (SEPARATE PRO"
"1185","46220","EXCISE ANAL EXT TAG/PAPILLA        "
"1186","46221","LIGATION OF HEMORRHOID(S)          "
"1187","46230","REMOVAL OF ANAL TAGS               "
"1188","46250","REMOVE EXT HEM GROUPS 2+"
"1189","46255","REMOVE INT/EXT HEM 1 GROUP"
"1190","46257","REMOVE IN/EX HEM GRP & FISS        "
"1191","46258","REMOVE IN/EX HEM GRP W/FISTU       "
"1192","46260","REMOVE IN/EX HEM GROUPS 2+"
"1193","46261","REMOVE IN/EX HEM GRPS & FISS       "
"1194","46262","REMOVE IN/EX HEM GRPS W/FIST       "
"1195","46270","REMOVE ANAL FIST SUBQ              "
"1196","46275","REMOVE ANAL FIST INTER             "
"1197","46280","REMOVE ANAL FIST COMPLEX           "
"1198","46281","CLOSURE OF ANAL FISTULA WITH RECTAL"
"1199","46285","REMOVE ANAL FIST 2 STAGE"
"1200","46288","REPAIR ANAL FISTULA                "
"1201","46320","REMOVAL OF HEMORRHOID CLOT         "
"1202","46500","INJECTION INTO HEMORRHOID(S)       "
"1203","46505","CHEMODENERVATION ANAL MUSC         "
"1204","46510","PERIANAL INJECTION OF ALCOHOL OR OT"
"1205","46530","DILATION OF ANUS AND LOWER RECTUM U"
"1206","46600","DIAGNOSTIC ANOSCOPY SPX            "
"1207","46601","DIAGNOSTIC ANOSCOPY                "
"1208","46602","ANOSCOPY; FOR COLLECTION OF SPECIME"
"1209","46604","ANOSCOPY; WITH DILATION (EG, BALLOO"
"1210","46606","ANOSCOPY; WITH BIOPSY, SINGLE OR MU"
"1211","46607","DIAGNOSTIC ANOSCOPY & BIOPSY       "
"1212","46608","ANOSCOPY REMOVE FOR BODY           "
"1213","46610","ANOSCOPY REMOVE LESION             "
"1214","46611","ANOSCOPY                           "
"1215","46612","ANOSCOPY REMOVE LESIONS            "
"1216","46614","ANOSCOPY CONTROL BLEEDING          "
"1217","46700","REPAIR OF ANAL STRICTURE           "
"1218","46706","REPR OF ANAL FISTULA W/GLUE        "
"1219","46707","REPAIR ANORECTAL FIST W/PLUG       "
"1220","46710","REPR PER/VAG POUCH SNGL PROC       "
"1221","46712","REPR PER/VAG POUCH DBL PROC        "
"1222","46715","REP PERF ANOPER FISTU              "
"1223","46716","REP PERF ANOPER/VESTIB FISTU       "
"1224","46730","CONSTRUCTION OF ABSENT ANUS        "
"1225","46742","REPAIR OF IMPERFORATED ANUS        "
"1226","46744","REPAIR OF CLOACAL ANOMALY          "
"1227","46750","REPAIR OF ANAL SPHINCTER           "
"1228","46753","RECONSTRUCTION OF ANUS             "
"1229","46754","REMOVAL OF THIERSCH WIRE OR SUTURE,"
"1230","46762","IMPLANT ARTIFICIAL SPHINCTER       "
"1231","46900","DESTRUCTION ANAL LESION(S)         "
"1232","46916","CRYOSURGERY ANAL LESION(S)         "
"1233","46917","LASER SURGERY ANAL LESIONS         "
"1234","46922","EXCISION OF ANAL LESION(S)         "
"1235","46930","DESTROY INTERNAL HEMORRHOIDS       "
"1236","46932","CRYOSURGERY OF CONDYLOMATA, ANAL;  "
"1237","46934","DESTRUCTION OF HEMORRHOIDS, ANY MET"
"1238","46937","CRYOSURGERY OF RECTAL TUMOR; BENIGN"
"1239","46938","CRYOSURGERY OF RECTAL TUMOR; MALIGN"
"1240","46940","TREATMENT OF ANAL FISSURE          "
"1241","46945","INT HRHC LIG 1 HROID W/O IMG"
"1242","46946","INT HRHC LIG 2+HROID W/O IMG"
"1243","46947","HEMORRHOIDOPEXY BY STAPLING        "
"1244","46948","INT HRHC TRANAL DARTLZJ 2+"
"1245","46999","ANUS SURGERY PROCEDURE             "
"1246","47000","NEEDLE BIOPSY OF LIVER             "
"1247","47001","NEEDLE BIOPSY LIVER ADD-ON         "
"1248","47010","OPEN DRAINAGE LIVER LESION         "
"1249","47011","PERCUT DRAIN LIVER LESION          "
"1250","47015","INJECT/ASPIRATE LIVER CYST         "
"1251","47100","BIOPSY OF LIVER, WEDGE             "
"1252","47120","HEPATECTOMY, RESECTION OF LIVER; PA"
"1253","47122","HEPATECTOMY, RESECTION OF LIVER; TR"
"1254","47125","HEPATECTOMY, RESECTION OF LIVER; TO"
"1255","47133","REMOVAL OF DONOR LIVER             "
"1256","47134","DONOR HEPATECTOMY, WITH PREPARATION"
"1257","47135","TRANSPLANTATION OF LIVER           "
"1258","47136","LIVER ALLOTRANSPLANTATION; HETEROTO"
"1259","47140","PARTIAL REMOVAL DONOR LIVER        "
"1260","47143","PREP DONOR LIVER WHOLE             "
"1261","47144","PREP DONOR LIVER 3-SEGMENT"
"1262","47145","PREP DONOR LIVER LOBE SPLIT        "
"1263","47146","PREP DONOR LIVER/VENOUS            "
"1264","47147","PREP DONOR LIVER/ARTERIAL          "
"1265","47300","SURGERY FOR LIVER LESION           "
"1266","47350","REPAIR LIVER WOUND                 "
"1267","47355","HEPATORRHAPHY, SUTURE OF LIVER WOUN"
"1268","47362","MANAGEMENT OF LIVER HEMORRHAGE; RE-"
"1269","47370","LAPARO ABLATE LIVER TUMOR RF       "
"1270","47371","LAPARO ABLATE LIVER CRYOSURG       "
"1271","47379","LAPAROSCOPE PROCEDURE LIVER        "
"1272","47380","OPEN ABLATE LIVER TUMOR RF         "
"1273","47381","OPEN ABLATE LIVER TUMOR CRYO       "
"1274","47382","PERCUT ABLATE LIVER RF             "
"1275","47383","PERQ ABLTJ LVR CRYOABLATION        "
"1276","47399","LIVER SURGERY PROCEDURE            "
"1277","47400","INCISION OF LIVER DUCT             "
"1278","47420","INCISION OF BILE DUCT              "
"1279","47440","DUODENOCHOLEDOCHOTOMY, TRANSDUODENA"
"1280","47460","TRANSDUODENAL SPHINCTEROTOMY OR SPH"
"1281","47480","INCISION OF GALLBLADDER            "
"1282","47500","INJECTION PROCEDURE FOR PERCUTANEOU"
"1283","47505","INJECTION PROCEDURE FOR CHOLANGIOGR"
"1284","47510","INSERT CATHETER BILE DUCT          "
"1285","47511","INSERT BILE DUCT DRAIN             "
"1286","47525","CHANGE BILE DUCT CATHETER          "
"1287","47530","REVISION AND/OR REINSERTION OF TRAN"
"1288","47531","INJECTION FOR CHOLANGIOGRAM        "
"1289","47533","PLMT BILIARY DRAINAGE CATH         "
"1290","47535","CONVERSION EXT BIL DRG CATH        "
"1291","47536","EXCHANGE BILIARY DRG CATH          "
"1292","47537","REMOVAL BILIARY DRG CATH           "
"1293","47538","PERQ PLMT BILE DUCT STENT          "
"1294","47541","PLMT ACCESS BIL TREE SM BWL        "
"1295","47542","DILATE BILIARY DUCT/AMPULLA        "
"1296","47543","ENDOLUMINAL BX BILIARY TREE        "
"1297","47544","REMOVAL DUCT GLBLDR CALCULI        "
"1298","47550","BILE DUCT ENDOSCOPY ADD-ON         "
"1299","47552","BILIARY ENDO PERQ DX W/SPECI       "
"1300","47553","BILIARY ENDOSCOPY THRU SKIN        "
"1301","47560","LAPAROSCOPY, SURGICAL; WITH GUIDED "
"1302","47562","LAPAROSCOPY, SURGICAL; CHOLECYSTECT"
"1303","47563","LAPARO CHOLECYSTECTOMY/GRAPH       "
"1304","47564","LAPARO CHOLECYSTECTOMY/EXPLR       "
"1305","47570","LAPARO CHOLECYSTOENTEROSTOMY       "
"1306","47579","LAPAROSCOPE PROC BILIARY           "
"1307","47600","CHOLECYSTECTOMY;                   "
"1308","47605","CHOLECYSTECTOMY; WITH CHOLANGIOGRAP"
"1309","47610","CHOLECYSTECTOMY WITH EXPLORATION OF"
"1310","47611","CHOLECYSTECTOMY,W/BILIARY ENDOSCOPY"
"1311","47620","REMOVAL OF GALLBLADDER             "
"1312","47630","BILIARY DUCT STONE EXTRACTION, PERC"
"1313","47700","EXPLORATION FOR CONGENITAL ATRESIA "
"1314","47701","PORTOENTEROSTOMY (EG, KASAI PROCEDU"
"1315","47710","EXCISION OF BILE DUCT TUMOR, WITH R"
"1316","47711","EXCISION OF BILE DUCT TUMOR        "
"1317","47715","EXCISION OF BILE DUCT CYST         "
"1318","47716","ANASTOMOSIS, CHOLEDOCHAL CYST, WITH"
"1319","47719","FUSION OF BILE DUCT CYST           "
"1320","47720","FUSE GALLBLADDER & BOWEL           "
"1321","47721","FUSE UPPER GI STRUCTURES           "
"1322","47760","FUSE BILE DUCTS AND BOWEL          "
"1323","47765","FUSE LIVER DUCTS & BOWEL           "
"1324","47800","RECONSTRUCTION, PLASTIC, OF EXTRAHE"
"1325","47801","PLACEMENT BILE DUCT SUPPORT        "
"1326","47802","U-TUBE HEPATICOENTEROSTOMY         "
"1327","47810","IMPLANTATION OF BILIARY FISTULOUS T"
"1328","47850","CHOLEDOCHORRHAPHY                  "
"1329","47855","CHOLECYSTORRHAPHY                  "
"1330","47900","SUTURE OF EXTRAHEPATIC BILIARY DUCT"
"1331","47999","BILE TRACT SURGERY PROCEDURE       "
"1332","48000","DRAINAGE OF ABDOMEN                "
"1333","48001","PLACEMENT OF DRAIN PANCREAS        "
"1334","48005","RESECTION OR DEBRIDEMENT OF PANCREA"
"1335","48020","REMOVAL OF PANCREATIC CALCULUS     "
"1336","48100","BIOPSY OF PANCREAS OPEN            "
"1337","48102","NEEDLE BIOPSY PANCREAS             "
"1338","48105","RESECT/DEBRIDE PANCREAS            "
"1339","48120","EXCISION OF LESION OF PANCREAS (EG,"
"1340","48140","PANCREATECTOMY, DISTAL SUBTOTAL, WI"
"1341","48146","PANCREATECTOMY                     "
"1342","48148","EXCISION OF AMPULLA OF VATER       "
"1343","48150","PARTIAL REMOVAL OF PANCREAS        "
"1344","48151","PANCREATECTOMY, NEAR-TOTAL, WITH PR"
"1345","48155","PANCREATECTOMY, TOTAL              "
"1346","48160","PANCREATECTOMY, TOTAL OR SUBTOTAL, "
"1347","48180","PANCREATICOJEJUNOSTOMY, SIDE-TO-SID"
"1348","48400","INJECTION INTRAOP ADD-ON           "
"1349","48500","SURGERY OF PANCREATIC CYST         "
"1350","48510","DRAIN PANCREATIC PSEUDOCYST        "
"1351","48511","EXTERNAL DRAINAGE, PSEUDOCYST OF PA"
"1352","48520","FUSE PANCREAS CYST AND BOWEL       "
"1353","48545","PANCREATORRHAPHY FOR INJURY        "
"1354","48547","DUODENAL EXCLUSION WITH GASTROJEJUN"
"1355","48548","FUSE PANCREAS AND BOWEL            "
"1356","48550","DONOR PANCREATECTOMY               "
"1357","48551","PREP DONOR PANCREAS                "
"1358","48552","PREP DONOR PANCREAS/VENOUS         "
"1359","48554","TRANSPLANTATION OF PANCREATIC ALLOG"
"1360","48556","REMOVAL ALLOGRAFT PANCREAS         "
"1361","48999","PANCREAS SURGERY PROCEDURE         "
"1362","49000","EXPLORATION OF ABDOMEN             "
"1363","49002","REOPENING OF RECENT LAPAROTOMY     "
"1364","49010","EXPLORATION, RETROPERITONEAL AREA W"
"1365","49013","PRPERTL PEL PACK HEMRRG TRMA       "
"1366","49014","REEXPLORATION PELVIC WOUND         "
"1367","49020","DRAINAGE ABDOM ABSCESS OPEN        "
"1368","49021","DRAINAGE OF PERITONEAL ABSCESS OR L"
"1369","49040","DRAIN OPEN ABDOM ABSCESS           "
"1370","49041","DRAIN PERCUT ABDOM ABSCESS         "
"1371","49060","DRAIN OPEN RETROPERI ABSCESS       "
"1372","49061","DRAIN PERCUT RETROPER ABSC         "
"1373","49062","DRAIN TO PERITONEAL CAVITY         "
"1374","49080","PUNCTURE PERITONEAL CAVITY         "
"1375","49081","PERITONEOCENTESIS, ABDOMINAL PARACE"
"1376","49082","ABD PARACENTESIS                   "
"1377","49083","ABD PARACENTESIS W/IMAGING         "
"1378","49084","PERITONEAL LAVAGE                  "
"1379","49085","REMOVAL OF PERITONEAL FOREIGN BODY "
"1380","49180","BIOPSY ABDOMINAL MASS              "
"1381","49185","SCLEROTX FLUID COLLECTION          "
"1382","49200","EXCISION OR DESTRUCTION, OPEN, INTR"
"1383","49203","EXC ABD TUM 5 CM OR LESS"
"1384","49204","EXC ABD TUM OVER 5 CM"
"1385","49205","EXC ABD TUM OVER 10 CM"
"1386","49215","EXCISE SACRAL SPINE TUMOR          "
"1387","49220","MULTIPLE SURGERY ABDOMEN           "
"1388","49250","UMBILECTOMY, OMPHALECTOMY, EXCISION"
"1389","49255","OMENTECTOMY, EPIPLOECTOMY, RESECTIO"
"1390","49300","PERITONEOSCOPY; WITHOUT BIOPSY     "
"1391","49301","PERITONEOSCOPY; WITH BIOPSY        "
"1392","49302","PERITONEOSCOPY WITH GUIDED TRANSHEP"
"1393","49315","LAPAROSCOPY, SURGICAL; APPENDECTOMY"
"1394","49320","DIAG LAPARO SEPARATE PROC          "
"1395","49321","LAPAROSCOPY BIOPSY                 "
"1396","49322","LAPAROSCOPY ASPIRATION             "
"1397","49323","LAPAROSCOPY, SURGICAL; WITH DRAINAG"
"1398","49324","LAP INSERT TUNNEL IP CATH          "
"1399","49325","LAP REVISION PERM IP CATH          "
"1400","49326","LAP W/OMENTOPEXY ADD-ON            "
"1401","49327","LAP INS DEVICE FOR RT              "
"1402","49329","LAPARO PROC ABDM/PER/OMENT         "
"1403","49400","AIR INJECTION INTO ABDOMEN         "
"1404","49401","PNEUMOPERITONEUM (SEPARATE PROCEDUR"
"1405","49402","REMOVE FOREIGN BODY ADBOMEN        "
"1406","49405","IMAGE CATH FLUID COLXN VISC        "
"1407","49406","IMAGE CATH FLUID PERI/RETRO        "
"1408","49407","IMAGE CATH FLUID TRNS/VGNL         "
"1409","49411","INS MARK ABD/PEL FOR RT PERQ       "
"1410","49412","INS DEVICE FOR RT GUIDE OPEN       "
"1411","49418","INSERT TUN IP CATH PERC            "
"1412","49419","INSERT TUN IP CATH W/PORT          "
"1413","49420","INSERTION OF INTRAPERITONEAL CANNUL"
"1414","49421","INS TUN IP CATH FOR DIAL OPN       "
"1415","49422","REMOVE TUNNELED IP CATH            "
"1416","49423","EXCHANGE DRAINAGE CATHETER         "
"1417","49424","ASSESS CYST CONTRAST INJECT        "
"1418","49425","INSERT ABDOMEN-VENOUS DRAIN        "
"1419","49426","REVISION OF PERITONEAL-VENOUS SHUNT"
"1420","49427","INJECTION ABDOMINAL SHUNT          "
"1421","49428","LIGATION OF SHUNT                  "
"1422","49429","REMOVAL OF PERITONEAL-VENOUS SHUNT "
"1423","49430","INJECTION PROCEDURE FOR RETROPERITO"
"1424","49435","INSERT SUBQ EXTEN TO IP CATH       "
"1425","49436","EMBEDDED IP CATH EXIT-SITE         "
"1426","49440","PLACE GASTROSTOMY TUBE PERC        "
"1427","49441","PLACE DUOD/JEJ TUBE PERC           "
"1428","49442","PLACE CECOSTOMY TUBE PERC          "
"1429","49446","CHANGE G-TUBE TO G-J PERC          "
"1430","49450","REPLACE G/C TUBE PERC              "
"1431","49451","REPLACE DUOD/JEJ TUBE PERC         "
"1432","49452","REPLACE G-J TUBE PERC              "
"1433","49460","FIX G/COLON TUBE W/DEVICE          "
"1434","49465","FLUORO EXAM OF G/COLON TUBE        "
"1435","49491","RPR HERN PREEMIE REDUC             "
"1436","49492","RPR ING HERN PREMIE BLOCKED        "
"1437","49495","RPR ING HERNIA BABY REDUC          "
